AÃ‘O;LOCAL_VISITA;EQUIPO;VICTORIAS;DERROTAS;EMPATES;LOCAL_GOL;LOCAL_GOL_HT;LOCAL_AMARILLA;LOCAL_ROJA;LOCAL_TIRO_ARCO
2003;Local;Arsenal;7;0;2;16;7;13;1;68
2003;Visita;Arsenal;6;0;4;6;3;18;0;52
2003;Local;Aston Villa;5;1;3;13;8;9;0;69
2003;Visita;Aston Villa;1;6;3;16;5;10;0;60
2003;Local;Birmingham;3;3;3;8;3;14;2;43
2003;Visita;Birmingham;4;3;2;8;2;16;3;60
2003;Local;Blackburn;3;5;1;13;7;16;1;73
2003;Visita;Blackburn;3;5;2;14;8;12;1;72
2003;Local;Bolton;2;1;6;10;5;17;0;86
2003;Visita;Bolton;3;5;2;21;4;11;1;74
2003;Local;Charlton;3;3;3;13;7;12;2;48
2003;Visita;Charlton;5;2;3;8;5;20;0;82
2003;Local;Chelsea;7;1;1;20;12;7;1;52
2003;Visita;Chelsea;6;2;2;9;4;15;0;45
2003;Local;Everton;5;2;3;15;9;16;1;70
2003;Visita;Everton;1;6;2;16;10;10;1;65
2003;Local;Fulham;5;3;2;16;8;12;1;56
2003;Visita;Fulham;3;4;2;15;8;13;1;72
2003;Local;Leeds;2;4;4;9;5;24;1;55
2003;Visita;Leeds;2;6;1;25;10;7;0;76
2003;Local;Leicester;2;3;5;13;6;16;2;62
2003;Visita;Leicester;2;6;1;18;9;13;1;66
2003;Local;Liverpool;4;4;1;15;5;10;0;70
2003;Visita;Liverpool;3;2;4;9;6;14;2;53
2003;Local;Man City;2;3;4;15;3;12;1;87
2003;Visita;Man City;3;5;2;14;4;14;1;59
2003;Local;Man United;8;1;1;24;12;10;0;73
2003;Visita;Man United;7;2;0;6;2;19;1;37
2003;Local;Middlesbrough;2;5;3;6;1;18;0;62
2003;Visita;Middlesbrough;3;2;3;7;3;17;1;63
2003;Local;Newcastle;4;3;3;14;6;14;0;90
2003;Visita;Newcastle;2;2;5;16;8;16;1;55
2003;Local;Portsmouth;5;4;0;18;6;19;0;62
2003;Visita;Portsmouth;0;6;4;18;8;10;0;59
2003;Local;Southampton;5;4;1;11;4;13;1;75
2003;Visita;Southampton;2;3;4;8;5;12;0;74
2003;Local;Tottenham;4;5;1;14;3;15;0;69
2003;Visita;Tottenham;1;6;2;15;5;15;0;80
2003;Local;Wolves;3;2;3;10;2;15;0;34
2003;Visita;Wolves;0;8;2;24;10;20;0;100
2004;Local;Arsenal;14;0;6;51;21;22;0;163
2004;Visita;Arsenal;12;2;5;17;5;25;1;100
2004;Local;Aston Villa;9;5;6;26;15;23;0;119
2004;Visita;Aston Villa;6;7;6;26;17;26;1;145
2004;Local;Birmingham;8;6;6;29;17;22;3;125
2004;Visita;Birmingham;3;6;11;30;17;27;0;129
2004;Local;Blackburn;3;7;10;24;13;28;2;129
2004;Visita;Blackburn;6;8;5;30;14;18;2;133
2004;Local;Bolton;8;8;4;26;10;26;0;175
2004;Visita;Bolton;7;8;4;33;18;20;0;126
2004;Local;Charlton;10;5;5;32;14;14;0;135
2004;Visita;Charlton;5;10;4;33;16;18;1;154
2004;Local;Chelsea;13;2;5;34;16;18;1;146
2004;Visita;Chelsea;13;3;3;13;6;15;0;98
2004;Local;Crystal Palace;2;6;2;8;3;12;0;48
2004;Visita;Crystal Palace;1;5;4;19;8;7;0;96
2004;Local;Everton;10;6;3;25;7;19;0;126
2004;Visita;Everton;5;7;8;28;10;12;1;150
2004;Local;Fulham;7;9;3;24;12;22;2;114
2004;Visita;Fulham;4;10;6;26;13;16;1;157
2004;Local;Leeds;3;3;3;16;9;10;2;52
2004;Visita;Leeds;1;8;1;23;9;13;0;81
2004;Local;Leicester;1;3;5;6;3;9;0;67
2004;Visita;Leicester;1;5;4;19;9;11;1;86
2004;Local;Liverpool;14;2;4;34;17;12;0;167
2004;Visita;Liverpool;5;8;7;26;13;35;2;98
2004;Local;Man City;6;5;9;27;17;14;1;135
2004;Visita;Man City;4;10;5;30;12;20;1;134
2004;Local;Man United;11;2;6;32;11;16;1;162
2004;Visita;Man United;8;6;6;22;6;27;1;123
2004;Local;Middlesbrough;12;3;4;37;16;20;0;167
2004;Visita;Middlesbrough;6;11;4;37;14;20;2;167
2004;Local;Newcastle;10;4;5;35;16;17;0;165
2004;Visita;Newcastle;2;7;11;31;8;24;0;143
2004;Local;Norwich;2;4;4;12;3;8;0;66
2004;Visita;Norwich;0;5;5;19;11;9;0;94
2004;Local;Portsmouth;10;5;5;32;14;14;0;143
2004;Visita;Portsmouth;4;10;5;30;15;9;0;158
2004;Local;Southampton;5;3;11;26;10;20;0;129
2004;Visita;Southampton;2;15;3;39;17;8;0;155
2004;Local;Tottenham;8;5;6;36;16;21;0;153
2004;Visita;Tottenham;8;10;2;20;9;18;1;137
2004;Local;West Brom;1;5;4;7;3;7;2;43
2004;Visita;West Brom;0;6;4;23;11;7;0;66
2004;Local;Wolves;4;5;2;13;4;15;1;68
2004;Visita;Wolves;0;4;5;18;9;4;0;67
2005;Local;Arsenal;15;2;1;47;26;25;0;156
2005;Visita;Arsenal;7;7;5;17;9;34;2;70
2005;Local;Aston Villa;6;7;6;22;9;22;1;107
2005;Visita;Aston Villa;5;9;5;35;19;27;3;137
2005;Local;Birmingham;6;8;4;20;7;20;1;95
2005;Visita;Birmingham;2;13;4;32;12;25;0;127
2005;Local;Blackburn;9;6;2;22;9;28;3;115
2005;Visita;Blackburn;5;9;6;20;8;35;3;107
2005;Local;Bolton;10;2;5;22;10;21;1;142
2005;Visita;Bolton;9;6;4;23;9;17;0;132
2005;Local;Charlton;5;11;3;24;13;17;3;97
2005;Visita;Charlton;6;7;4;21;8;17;0;137
2005;Local;Chelsea;17;0;3;43;17;21;0;163
2005;Visita;Chelsea;15;1;2;7;5;37;2;80
2005;Local;Crystal Palace;4;2;3;13;5;18;2;58
2005;Visita;Crystal Palace;0;6;3;24;10;13;0;76
2005;Local;Everton;7;9;2;16;7;35;3;105
2005;Visita;Everton;5;12;3;40;16;18;4;150
2005;Local;Fulham;10;3;5;33;15;26;1;92
2005;Visita;Fulham;2;13;5;36;14;25;2;150
2005;Local;Liverpool;12;3;4;27;15;21;1;144
2005;Visita;Liverpool;7;7;3;18;11;22;4;75
2005;Local;Man City;10;5;4;26;12;23;0;116
2005;Visita;Man City;5;7;7;26;16;25;1;99
2005;Local;Man United;11;2;6;32;16;26;0;185
2005;Visita;Man United;13;3;3;17;10;33;2;90
2005;Local;Middlesbrough;6;6;8;26;14;27;2;144
2005;Visita;Middlesbrough;3;8;6;23;5;20;0;129
2005;Local;Newcastle;8;2;7;17;10;25;4;120
2005;Visita;Newcastle;4;12;4;26;10;29;1;131
2005;Local;Norwich;5;3;1;17;5;9;1;52
2005;Visita;Norwich;0;7;2;26;13;15;0;86
2005;Local;Portsmouth;5;7;7;21;15;36;3;113
2005;Visita;Portsmouth;2;15;2;40;19;17;0;125
2005;Local;Southampton;3;3;3;17;11;10;1;51
2005;Visita;Southampton;1;5;3;17;14;11;1;79
2005;Local;Sunderland;0;8;3;7;5;11;0;66
2005;Visita;Sunderland;1;7;0;15;8;11;0;62
2005;Local;Tottenham;13;2;5;36;13;29;1;140
2005;Visita;Tottenham;3;8;7;25;11;15;1;120
2005;Local;West Brom;9;5;5;26;9;23;0;98
2005;Visita;West Brom;1;11;7;31;14;19;2;161
2005;Local;West Ham;4;4;1;14;4;12;0;45
2005;Visita;West Ham;3;4;4;15;8;21;1;84
2005;Local;Wigan;6;4;1;16;8;11;1;64
2005;Visita;Wigan;5;4;0;10;6;10;0;61
2006;Local;Arsenal;11;1;8;52;21;24;0;189
2006;Visita;Arsenal;9;9;2;18;11;43;1;106
2006;Local;Aston Villa;7;6;6;21;12;26;0;105
2006;Visita;Aston Villa;3;8;9;32;11;22;1;152
2006;Local;Birmingham;5;2;3;12;6;16;1;41
2006;Visita;Birmingham;0;6;3;15;6;4;0;61
2006;Local;Blackburn;13;5;4;32;18;45;4;104
2006;Visita;Blackburn;5;9;3;26;13;33;1;120
2006;Local;Bolton;13;5;4;37;20;31;1;133
2006;Visita;Bolton;5;8;6;20;8;24;2;96
2006;Local;Charlton;9;5;6;21;9;26;2;117
2006;Visita;Charlton;0;16;5;46;24;16;1;162
2006;Local;Chelsea;14;0;5;39;19;27;3;141
2006;Visita;Chelsea;11;6;3;19;9;37;3;67
2006;Local;Everton;12;3;6;35;20;32;1;126
2006;Visita;Everton;4;7;7;23;10;27;3;126
2006;Local;Fulham;13;5;2;25;13;25;2;101
2006;Visita;Fulham;2;10;7;43;25;24;0;142
2006;Local;Liverpool;15;0;4;36;13;13;1;178
2006;Visita;Liverpool;9;10;3;25;12;31;3;92
2006;Local;Man City;8;7;4;21;13;22;1;115
2006;Visita;Man City;4;15;1;32;20;20;1;152
2006;Local;Man United;16;1;3;43;25;23;0;177
2006;Visita;Man United;13;4;2;21;10;35;0;81
2006;Local;Middlesbrough;9;7;2;23;8;22;0;110
2006;Visita;Middlesbrough;3;12;7;33;16;20;3;149
2006;Local;Newcastle;12;5;4;34;19;29;3;158
2006;Visita;Newcastle;5;11;3;27;14;31;1;149
2006;Local;Portsmouth;10;4;5;30;7;20;1;159
2006;Visita;Portsmouth;6;11;3;32;14;22;2;152
2006;Local;Reading;5;4;1;12;8;6;1;41
2006;Visita;Reading;3;6;2;17;7;13;1;82
2006;Local;Sheffield United;3;4;4;12;3;17;0;73
2006;Visita;Sheffield United;3;6;1;12;6;13;1;68
2006;Local;Sunderland;1;6;1;5;3;17;0;45
2006;Visita;Sunderland;1;8;2;17;8;12;0;91
2006;Local;Tottenham;13;3;3;33;16;19;1;151
2006;Visita;Tottenham;4;11;5;29;16;25;1;120
2006;Local;Watford;1;3;5;8;4;12;1;42
2006;Visita;Watford;0;7;3;17;7;12;0;70
2006;Local;West Brom;1;7;1;5;2;5;1;38
2006;Visita;West Brom;1;4;4;17;5;11;1;77
2006;Local;West Ham;10;8;3;26;9;32;1;120
2006;Visita;West Ham;4;12;2;31;16;21;1;136
2006;Local;Wigan;4;10;4;20;12;30;2;109
2006;Visita;Wigan;6;9;5;30;12;23;0;122
2007;Local;Arsenal;16;1;2;42;13;25;1;155
2007;Visita;Arsenal;7;3;8;17;8;39;2;91
2007;Local;Aston Villa;8;5;6;22;8;35;2;111
2007;Visita;Aston Villa;7;4;7;26;15;27;3;126
2007;Local;Birmingham;3;4;3;12;6;18;0;61
2007;Visita;Birmingham;2;7;1;19;8;13;1;72
2007;Local;Blackburn;8;7;3;28;13;32;5;121
2007;Visita;Blackburn;8;6;6;29;13;28;0;163
2007;Local;Bolton;6;5;7;24;10;30;0;127
2007;Visita;Bolton;2;14;3;47;29;17;1;140
2007;Local;Charlton;3;3;2;9;4;14;0;35
2007;Visita;Charlton;1;4;4;17;6;3;0;74
2007;Local;Chelsea;11;0;7;37;15;26;3;141
2007;Visita;Chelsea;11;4;4;11;8;39;1;108
2007;Local;Derby;1;7;2;7;4;11;0;50
2007;Visita;Derby;0;8;2;26;11;8;1;92
2007;Local;Everton;11;5;2;37;14;19;3;132
2007;Visita;Everton;6;6;7;18;7;33;0;128
2007;Local;Fulham;4;5;10;24;9;26;4;117
2007;Visita;Fulham;0;12;6;37;14;19;3;132
2007;Local;Liverpool;10;2;6;39;16;15;0;150
2007;Visita;Liverpool;9;4;5;13;5;25;3;67
2007;Local;Man City;10;6;4;21;10;26;0;118
2007;Visita;Man City;4;7;6;24;11;27;2;114
2007;Local;Man United;15;1;2;42;19;24;0;208
2007;Visita;Man United;10;5;4;17;7;39;3;112
2007;Local;Middlesbrough;7;7;4;32;18;32;0;110
2007;Visita;Middlesbrough;5;9;5;27;13;19;0;146
2007;Local;Newcastle;7;4;8;25;12;27;0;119
2007;Visita;Newcastle;4;11;3;28;7;30;0;133
2007;Local;Portsmouth;6;4;9;20;10;26;1;130
2007;Visita;Portsmouth;6;7;5;25;12;21;1;112
2007;Local;Reading;12;5;2;31;12;25;1;124
2007;Visita;Reading;2;10;6;39;15;19;1;162
2007;Local;Sheffield United;4;2;2;12;7;14;0;49
2007;Visita;Sheffield United;0;8;1;22;10;17;1;70
2007;Local;Sunderland;4;3;3;11;4;12;1;64
2007;Visita;Sunderland;0;8;2;26;10;8;0;70
2007;Local;Tottenham;9;6;3;45;22;20;2;153
2007;Visita;Tottenham;5;6;8;29;12;35;1;115
2007;Local;Watford;2;4;4;11;6;11;0;52
2007;Visita;Watford;2;6;1;17;8;10;0;78
2007;Local;West Ham;6;7;5;26;14;41;1;117
2007;Visita;West Ham;9;7;2;23;14;34;1;110
2007;Local;Wigan;6;9;4;19;10;31;1;98
2007;Visita;Wigan;2;13;4;39;13;30;0;127
2008;Local;Arsenal;11;2;6;31;14;21;1;163
2008;Visita;Arsenal;9;5;5;23;11;32;2;96
2008;Local;Aston Villa;9;3;7;36;11;13;0;112
2008;Visita;Aston Villa;9;6;4;27;11;32;1;136
2008;Local;Birmingham;3;1;5;18;6;11;2;55
2008;Visita;Birmingham;0;7;2;20;10;6;1;78
2008;Local;Blackburn;6;5;8;25;12;34;1;101
2008;Visita;Blackburn;5;9;5;32;11;24;1;113
2008;Local;Bolton;6;9;4;16;10;26;0;144
2008;Visita;Bolton;6;10;3;30;12;26;1;176
2008;Local;Chelsea;10;2;7;33;18;26;0;177
2008;Visita;Chelsea;15;0;4;9;4;21;0;103
2008;Local;Derby;0;6;3;5;2;16;1;55
2008;Visita;Derby;0;8;1;20;7;9;0;78
2008;Local;Everton;7;5;7;24;10;21;1;117
2008;Visita;Everton;11;5;3;15;2;25;1;124
2008;Local;Fulham;9;7;3;23;10;25;2;125
2008;Visita;Fulham;3;7;8;16;7;13;0;114
2008;Local;Hull;3;5;2;10;4;14;1;60
2008;Visita;Hull;4;2;4;17;11;16;1;99
2008;Local;Liverpool;14;0;6;39;15;21;0;187
2008;Visita;Liverpool;10;3;6;16;7;28;3;86
2008;Local;Man City;7;9;2;33;18;11;4;135
2008;Visita;Man City;4;10;6;37;10;27;2;146
2008;Local;Man United;15;1;1;45;19;18;1;218
2008;Visita;Man United;9;3;7;13;6;41;1;124
2008;Local;Middlesbrough;8;7;5;25;10;33;0;132
2008;Visita;Middlesbrough;2;9;7;27;8;25;0;147
2008;Local;Newcastle;7;7;5;25;12;20;2;118
2008;Visita;Newcastle;2;10;7;38;18;28;0;168
2008;Local;Portsmouth;9;6;4;27;11;26;2;157
2008;Visita;Portsmouth;5;11;3;30;17;16;1;149
2008;Local;Reading;2;6;1;5;1;13;2;47
2008;Visita;Reading;2;6;1;12;7;6;0;65
2008;Local;Stoke;5;3;2;12;3;20;1;42
2008;Visita;Stoke;0;7;3;22;13;10;0;105
2008;Local;Sunderland;8;9;2;23;13;36;0;119
2008;Visita;Sunderland;5;11;3;28;13;29;2;145
2008;Local;Tottenham;6;6;7;23;9;23;0;164
2008;Visita;Tottenham;4;10;5;30;12;33;3;134
2008;Local;West Brom;4;4;2;13;4;19;0;79
2008;Visita;West Brom;1;8;1;19;10;9;0;106
2008;Local;West Ham;8;7;4;25;13;25;2;139
2008;Visita;West Ham;4;11;5;33;17;28;3;176
2008;Local;Wigan;9;5;5;19;9;27;2;131
2008;Visita;Wigan;5;8;5;21;10;15;2;109
2009;Local;Arsenal;13;2;3;42;19;19;0;185
2009;Visita;Arsenal;10;3;6;23;5;38;2;108
2009;Local;Aston Villa;9;4;6;28;17;21;0;132
2009;Visita;Aston Villa;7;7;5;27;12;26;4;141
2009;Local;Birmingham;5;2;3;8;3;16;1;62
2009;Visita;Birmingham;4;4;2;13;6;11;0;103
2009;Local;Blackburn;8;3;8;25;7;28;2;137
2009;Visita;Blackburn;3;13;3;42;17;24;1;162
2009;Local;Bolton;6;6;7;29;14;32;2;130
2009;Visita;Bolton;2;10;5;30;10;25;0;147
2009;Local;Burnley;5;1;4;14;7;8;0;60
2009;Visita;Burnley;0;9;1;31;15;16;0;101
2009;Local;Chelsea;16;0;3;43;16;11;0;213
2009;Visita;Chelsea;11;6;2;19;7;30;1;114
2009;Local;Everton;9;3;7;33;11;21;1;159
2009;Visita;Everton;4;7;7;24;13;15;1;126
2009;Local;Fulham;11;6;2;27;10;20;0;128
2009;Visita;Fulham;4;8;7;25;12;18;1;139
2009;Local;Hull;4;9;6;21;10;26;3;113
2009;Visita;Hull;1;13;5;37;19;26;0;160
2009;Local;Liverpool;12;2;5;51;17;22;1;192
2009;Visita;Liverpool;10;6;3;21;9;37;3;102
2009;Local;Man City;14;1;3;38;21;18;1;144
2009;Visita;Man City;4;9;6;27;12;30;2;127
2009;Local;Man United;17;2;2;47;21;26;1;205
2009;Visita;Man United;14;5;0;15;7;32;2;112
2009;Local;Middlesbrough;2;1;6;8;5;12;1;58
2009;Visita;Middlesbrough;0;9;0;22;9;9;0;80
2009;Local;Newcastle;1;4;4;8;3;10;2;63
2009;Visita;Newcastle;1;6;2;15;8;15;0;66
2009;Local;Portsmouth;7;11;1;25;7;38;3;151
2009;Visita;Portsmouth;1;11;7;28;11;21;1;138
2009;Local;Stoke;9;4;5;21;11;37;1;77
2009;Visita;Stoke;3;11;5;31;16;14;0;181
2009;Local;Sunderland;8;7;4;28;12;37;2;105
2009;Visita;Sunderland;1;12;6;31;11;24;0;146
2009;Local;Tottenham;14;3;2;40;17;23;0;192
2009;Visita;Tottenham;6;7;6;31;10;31;1;147
2009;Local;West Brom;3;5;1;13;5;19;1;62
2009;Visita;West Brom;0;5;4;15;8;10;1;73
2009;Local;West Ham;8;7;4;28;13;29;1;134
2009;Visita;West Ham;3;9;7;27;13;33;3;166
2009;Local;Wigan;6;6;6;16;7;25;1;121
2009;Visita;Wigan;3;14;3;47;16;23;1;175
2009;Local;Wolves;3;5;2;9;3;14;0;78
2009;Visita;Wolves;2;6;2;21;10;4;0;87
2010;Local;Arsenal;13;4;2;42;17;32;3;186
2010;Visita;Arsenal;8;6;5;23;10;29;5;108
2010;Local;Aston Villa;6;3;10;27;10;30;0;129
2010;Visita;Aston Villa;6;9;3;34;17;19;0;174
2010;Local;Birmingham;6;1;11;20;7;32;1;86
2010;Visita;Birmingham;1;12;5;35;14;23;3;154
2010;Local;Blackburn;10;4;5;27;13;23;1;117
2010;Visita;Blackburn;5;10;4;35;13;31;3;153
2010;Local;Blackpool;2;2;2;11;4;7;0;43
2010;Visita;Blackpool;5;4;2;18;9;13;0;119
2010;Local;Bolton;9;4;6;31;12;26;3;164
2010;Visita;Bolton;4;12;5;35;12;23;2;171
2010;Local;Burnley;2;6;1;11;3;12;0;57
